tramo,zona,fecha,dia_semana,hora,total_registros,speed_promedio,pct_detenido,pct_lento,pct_normal,pct_fluido,temperatura_max,temperatura_min,precipitacion,pct_congestion,nivel_congestion,es_hora_pico,zona_cod,tramo_cod,velocidad_hora_anterior,hora_anterior_obs,gap_anterior_horas,promedio_movil_2,promedio_movil_3,tendencia,velocidad_siguiente,hora_siguiente_obs,gap_siguiente_horas,es_sintetico
MC_A1,mercado_campesino,2026-06-09,1,15,1,24.0,0.0,0.0,1.0,0.0,16.2,8.8,0.0,0.0,BAJO,0,0,0,,,,,,,9.333333333333334,17.0,2.0,0
MC_A1,mercado_campesino,2026-06-10,2,7,2,23.5,0.0,0.0,1.0,0.0,20.0,8.7,0.0,0.0,BAJO,1,0,0,,,,24.0,24.0,,12.666666666666666,8.0,1.0,0
MC_A1,mercado_campesino,2026-06-10,2,8,3,12.666666666666666,0.0,0.6666666666666666,0.3333333333333333,0.0,20.0,8.7,0.0,0.6667,MEDIO,1,0,0,23.5,7.0,1.0,23.5,23.75,-10.833333333333334,16.75,9.0,1.0,0
MC_A1,mercado_campesino,2026-06-10,2,9,4,16.75,0.25,0.0,0.75,0.0,20.0,8.7,0.0,0.25,BAJO,0,0,0,12.666666666666666,8.0,1.0,18.08333333333333,18.08333333333333,4.083333333333334,5.4,10.0,1.0,0
MC_A1,mercado_campesino,2026-06-10,2,16,2,24.0,0.0,0.0,0.5,0.5,20.0,8.7,0.0,0.0,BAJO,0,0,0,5.4,10.0,6.0,11.075,11.605555555555554,18.6,17.0,17.0,1.0,0
MC_A1,mercado_campesino,2026-06-10,2,17,4,17.0,0.0,0.5,0.5,0.0,20.0,8.7,0.0,0.5,MEDIO,1,0,0,24.0,16.0,1.0,14.7,15.383333333333333,-7.0,24.5,18.0,1.0,0
MC_A1,mercado_campesino,2026-06-10,2,18,2,24.5,0.0,0.0,1.0,0.0,20.0,8.7,0.0,0.0,BAJO,1,0,0,17.0,17.0,1.0,20.5,15.466666666666669,7.5,12.0,19.0,1.0,0
MC_A1,mercado_campesino,2026-06-21,6,6,2,24.0,0.0,0.0,1.0,0.0,29.1,0.2,0.0,0.0,BAJO,0,0,0,,,,24.5,20.75,,12.0,7.0,1.0,0
MC_A2,mercado_campesino,2026-06-09,1,15,10,6.3,0.4,0.4,0.2,0.0,16.2,8.8,0.0,0.8,ALTO,0,0,1,,,,24.0,24.0,,2.9,17.0,2.0,0
MC_A2,mercado_campesino,2026-06-10,2,7,2,10.5,0.0,0.5,0.5,0.0,20.0,8.7,0.0,0.5,MEDIO,1,0,1,,,,6.3,6.3,,6.4,8.0,1.0,0
MC_A2,mercado_campesino,2026-06-10,2,8,5,6.4,0.4,0.4,0.2,0.0,20.0,8.7,0.0,0.8,ALTO,1,0,1,10.5,7.0,1.0,10.5,8.4,-4.1,1.0,9.0,1.0,0
MC_A2,mercado_campesino,2026-06-10,2,9,2,1.0,0.5,0.5,0.0,0.0,20.0,8.7,0.0,1.0,ALTO,0,0,1,6.4,8.0,1.0,8.45,8.45,-5.4,6.625,10.0,1.0,0
MC_A2,mercado_campesino,2026-06-10,2,16,4,9.5,0.0,1.0,0.0,0.0,20.0,8.7,0.0,1.0,ALTO,0,0,1,6.625,10.0,6.0,3.8125,4.675,2.875,1.4285714285714286,17.0,1.0,0
MC_A2,mercado_campesino,2026-06-10,2,17,7,1.4285714285714286,0.7142857142857143,0.2857142857142857,0.0,0.0,20.0,8.7,0.0,1.0,ALTO,1,0,1,9.5,16.0,1.0,8.0625,5.708333333333333,-8.071428571428571,19.5,18.0,1.0,0
MC_A2,mercado_campesino,2026-06-10,2,18,2,19.5,0.0,0.5,0.5,0.0,20.0,8.7,0.0,0.5,MEDIO,1,0,1,1.4285714285714286,17.0,1.0,5.464285714285714,5.851190476190475,18.071428571428573,2.2777777777777777,19.0,1.0,0
MC_A2,mercado_campesino,2026-06-21,6,6,3,18.33333333333333,0.0,0.6666666666666666,0.0,0.3333333333333333,29.100000000000005,0.2,0.0,0.6667,MEDIO,0,0,1,,,,19.5,10.464285714285714,,2.625,7.0,1.0,0
MC_A3,mercado_campesino,2026-06-09,1,15,2,12.0,0.0,1.0,0.0,0.0,16.2,8.8,0.0,1.0,ALTO,0,0,2,,,,18.33333333333333,18.33333333333333,,12.4,17.0,2.0,0
MC_A3,mercado_campesino,2026-06-10,2,7,6,12.5,0.1666666666666666,0.5,0.3333333333333333,0.0,20.0,8.7,0.0,0.6667,MEDIO,1,0,2,,,,12.0,12.0,,18.0,8.0,1.0,0
MC_A3,mercado_campesino,2026-06-10,2,8,3,18.0,0.0,0.3333333333333333,0.6666666666666666,0.0,20.0,8.7,0.0,0.3333,BAJO,1,0,2,12.5,7.0,1.0,12.5,12.25,5.5,8.75,9.0,1.0,0
