tramo,zona,fecha,dia_semana,hora,total_registros,speed_promedio,pct_detenido,pct_lento,pct_normal,pct_fluido,temperatura_max,temperatura_min,precipitacion,pct_congestion,nivel_congestion,es_hora_pico,zona_cod,tramo_cod,velocidad_hora_anterior,hora_anterior_obs,gap_anterior_horas,promedio_movil_2,promedio_movil_3,tendencia,velocidad_siguiente,hora_siguiente_obs,gap_siguiente_horas,es_sintetico
MC_A1,mercado_campesino,2026-06-10,2,7,5,17.8,0.2,0.0,0.8,0.0,20.0,8.7,0.0,0.2,BAJO,1,0,0,,,,21.5,21.5,,13.666666666666666,8.0,1.0,0
MC_A1,mercado_campesino,2026-06-10,2,8,6,13.666666666666666,0.0,0.5,0.5,0.0,20.0,8.7,0.0,0.5,MEDIO,1,0,0,17.8,7.0,1.0,17.8,19.65,-4.133333333333335,16.75,9.0,1.0,0
MC_A1,mercado_campesino,2026-06-10,2,9,4,16.75,0.25,0.0,0.75,0.0,20.0,8.7,0.0,0.25,BAJO,0,0,0,13.666666666666666,8.0,1.0,15.733333333333334,15.733333333333334,3.083333333333334,5.4,10.0,1.0,0
MC_A1,mercado_campesino,2026-06-10,2,16,3,24.666666666666668,0.0,0.0,0.6666666666666666,0.3333333333333333,20.0,8.7,0.0,0.0,BAJO,0,0,0,5.4,10.0,6.0,11.075,11.93888888888889,19.266666666666666,17.0,17.0,1.0,0
MC_A1,mercado_campesino,2026-06-10,2,18,3,25.666666666666668,0.0,0.0,1.0,0.0,20.0,8.7,0.0,0.0,BAJO,1,0,0,17.0,17.0,1.0,20.833333333333336,15.68888888888889,8.666666666666668,16.4,19.0,1.0,0
MC_A1,mercado_campesino,2026-06-21,6,6,4,25.0,0.0,0.0,1.0,0.0,29.1,0.2,0.0,0.0,BAJO,0,0,0,,,,25.666666666666668,21.333333333333336,,13.714285714285714,7.0,1.0,0
MC_A2,mercado_campesino,2026-06-09,1,15,35,2.342857142857143,0.6857142857142857,0.2571428571428571,0.0571428571428571,0.0,16.2,8.8,0.0,0.9429,ALTO,0,0,1,,,,25.0,25.0,,5.538461538461538,17.0,2.0,0
MC_A2,mercado_campesino,2026-06-10,2,8,7,9.0,0.2857142857142857,0.4285714285714285,0.2857142857142857,0.0,20.0,8.7,0.0,0.7143,ALTO,1,0,1,1.6538461538461535,7.0,1.0,1.6538461538461535,1.9983516483516484,7.346153846153847,0.7777777777777778,9.0,1.0,0
MC_A2,mercado_campesino,2026-06-10,2,9,18,0.7777777777777778,0.7222222222222222,0.2777777777777778,0.0,0.0,20.0,8.7,0.0,1.0,ALTO,0,0,1,9.0,8.0,1.0,5.326923076923077,5.326923076923077,-8.222222222222221,8.0,10.0,1.0,0
MC_A2,mercado_campesino,2026-06-10,2,17,9,5.666666666666667,0.5555555555555556,0.2222222222222222,0.2222222222222222,0.0,20.0,8.7,0.0,0.7778,ALTO,1,0,1,1.896551724137931,16.0,1.0,4.948275862068965,3.558109833971903,3.770114942528736,3.7857142857142856,18.0,1.0,0
MC_A2,mercado_campesino,2026-06-10,2,18,14,3.7857142857142856,0.5714285714285714,0.3571428571428571,0.0714285714285714,0.0,20.0,8.7,0.0,0.9286,ALTO,1,0,1,5.666666666666667,17.0,1.0,3.781609195402299,5.187739463601532,-1.8809523809523812,3.8,19.0,1.0,0
MC_A2,mercado_campesino,2026-06-21,6,6,20,4.3,0.7,0.2,0.05,0.05,29.1,0.2,0.0,0.9,ALTO,0,0,1,,,,3.7857142857142856,4.726190476190476,,4.052631578947368,7.0,1.0,0
MC_A3,mercado_campesino,2026-06-10,2,7,8,12.25,0.25,0.375,0.375,0.0,20.0,8.7,0.0,0.625,MEDIO,1,0,2,,,,6.666666666666667,6.666666666666667,,11.7,8.0,1.0,0
MC_A3,mercado_campesino,2026-06-10,2,8,10,11.7,0.3,0.3,0.4,0.0,20.0,8.7,0.0,0.6,MEDIO,1,0,2,12.25,7.0,1.0,12.25,9.458333333333332,-0.5500000000000007,9.333333333333334,9.0,1.0,0
MC_A3,mercado_campesino,2026-06-10,2,9,9,9.333333333333334,0.3333333333333333,0.2222222222222222,0.4444444444444444,0.0,20.0,8.7,0.0,0.5556,MEDIO,0,0,2,11.7,8.0,1.0,11.975,11.974999999999998,-2.3666666666666654,13.0,10.0,1.0,0
MC_A3,mercado_campesino,2026-06-10,2,16,10,12.0,0.4,0.1,0.4,0.1,20.0,8.7,0.0,0.5,MEDIO,0,0,2,13.0,10.0,6.0,11.166666666666668,11.344444444444443,-1.0,13.857142857142858,17.0,1.0,0
MC_A3,mercado_campesino,2026-06-10,2,17,7,13.857142857142858,0.1428571428571428,0.4285714285714285,0.4285714285714285,0.0,20.0,8.7,0.0,0.5714,MEDIO,1,0,2,12.0,16.0,1.0,12.5,11.444444444444445,1.8571428571428577,13.75,18.0,1.0,0
